|id|urlkey|timestamp|mime|mime-detected|digest|offset|url|length|status|filename
0||com,goodreads)/book/show/18430224-ten-grand-vol-1|20190323233130|text/html|text/html|2SOPLVJWP27BKSEYK76WXPVSIU3JRDVC|767541212|https://www.goodreads.com/book/show/18430224-ten-grand-vol-1|68913|200|crawl-data/CC-MAIN-2019-13/segments/1552912203093.63/warc/CC-MAIN-20190323221914-20190324003914-00530.warc.gz
0||com,goodreads)/book/show/18430224-ten-grand-volume-1|20190323233128|text/html|text/html|IQGWQDHTWCCSABHY4RZCIMBME5NXQUCO|25535492|https://www.goodreads.com/book/show/18430224-ten-grand-volume-1|1601|301|crawl-data/CC-MAIN-2019-13/segments/1552912203093.63/crawldiagnostics/CC-MAIN-20190323221914-20190324003914-00195.warc.gz
0||com,goodreads)/book/show/18430663-the-blood-whisperer|20190320143952|text/html|text/html|UONJJPWWZFZU34VWRETSRGQHSHEIL35V|761979516|https://www.goodreads.com/book/show/18430663-the-blood-whisperer|70652|200|crawl-data/CC-MAIN-2019-13/segments/1552912202347.13/warc/CC-MAIN-20190320125919-20190320151919-00507.warc.gz
0||com,goodreads)/book/show/18432545-dark-energy|20190318151047|text/html|text/html|7HGHFO7EAVZHXO3KLHLWQY6TP3YSZMY7|774523810|https://www.goodreads.com/book/show/18432545-dark-energy|25291|200|crawl-data/CC-MAIN-2019-13/segments/1552912201329.40/warc/CC-MAIN-20190318132220-20190318154220-00251.warc.gz
0||com,goodreads)/book/show/184419|20190324012848|text/html|text/html|ZTKNHSN67OCV4C6QPWDG4L5TGRUEKKDN|24961249|https://www.goodreads.com/book/show/184419|1393|301|crawl-data/CC-MAIN-2019-13/segments/1552912203123.91/crawldiagnostics/CC-MAIN-20190324002035-20190324024035-00446.warc.gz
0||com,goodreads)/book/show/184419.the_man_who_was_thursday|20190324012848|text/html|text/html|COI6V3JGM3AACEYMACPJMI72DCK75VZS|755222515|https://www.goodreads.com/book/show/184419.The_Man_Who_Was_Thursday|90457|200|crawl-data/CC-MAIN-2019-13/segments/1552912203123.91/warc/CC-MAIN-20190324002035-20190324024035-00052.warc.gz
0||com,goodreads)/book/show/18453088-i-am-the-weapon|20190319045538|text/html|text/html|XCHK4IKE7TOBDBF7YGHAAGIVNHAG676K|799269439|https://www.goodreads.com/book/show/18453088-i-am-the-weapon|101624|200|crawl-data/CC-MAIN-2019-13/segments/1552912201885.28/warc/CC-MAIN-20190319032352-20190319054352-00364.warc.gz
0||com,goodreads)/book/show/18453091-thief-s-magic|20190319200313|text/html|text/html|N3C3HAC6B6JX4ZU7TT6BX4PXHBP6VGM4|25148687|https://www.goodreads.com/book/show/18453091-thief-s-magic|2300|403|crawl-data/CC-MAIN-2019-13/segments/1552912202125.41/crawldiagnostics/CC-MAIN-20190319183735-20190319205735-00203.warc.gz
0||com,goodreads)/book/show/18453185-nantucket-red?ac=1|20190319063518|text/html|text/html|LBAZOBNGJIDTLNUYBGTCP3OO43KY6NOS|788010512|https://www.goodreads.com/book/show/18453185-nantucket-red?ac=1|80969|200|crawl-data/CC-MAIN-2019-13/segments/1552912201904.55/warc/CC-MAIN-20190319052517-20190319074517-00553.warc.gz
0||com,goodreads)/book/show/18453734-lo-que-encontr-bajo-el-sof?ac=1|20190319071426|text/html|text/html|GXYGTW6TBYVRDCS4R5WTPYH6UPSQYTBW|777271114|https://www.goodreads.com/book/show/18453734-lo-que-encontr-bajo-el-sof?ac=1|76685|200|crawl-data/CC-MAIN-2019-13/segments/1552912201904.55/warc/CC-MAIN-20190319052517-20190319074517-00403.warc.gz
0||com,goodreads)/book/show/18454317-growth-hacker-marketing|20190321103556|text/html|text/html|MZUV63VGWQROXACZRS746X3CDCLPGKSM|771348264|https://www.goodreads.com/book/show/18454317-growth-hacker-marketing|77971|200|crawl-data/CC-MAIN-2019-13/segments/1552912202510.47/warc/CC-MAIN-20190321092320-20190321114320-00188.warc.gz
0||com,goodreads)/book/show/18454992-beyond-fate?ac=1|20190320020518|text/html|text/html|FXUIGCPVVJB4ADTHT63V3LBBYFG7S5JW|9743076|http://www.goodreads.com/book/show/18454992-beyond-fate?ac=1|949|301|crawl-data/CC-MAIN-2019-13/segments/1552912202188.9/crawldiagnostics/CC-MAIN-20190320004046-20190320030046-00482.warc.gz
0||com,goodreads)/book/show/18454992-beyond-fate?ac=1|20190320020520|text/html|text/html|K7DES7C7LDTSZNAHRVL4RYRG2MPBH2JT|806654675|https://www.goodreads.com/book/show/18454992-beyond-fate?ac=1|76609|200|crawl-data/CC-MAIN-2019-13/segments/1552912202188.9/warc/CC-MAIN-20190320004046-20190320030046-00019.warc.gz
0||com,goodreads)/book/show/18455.the_spy_who_loved_me|20190321043651|text/html|text/html|4EH6AWKG7ZJXUUS5BGGCDKPGCSCTY5BB|24163699|https://www.goodreads.com/book/show/18455.The_Spy_Who_Loved_Me|2246|403|crawl-data/CC-MAIN-2019-13/segments/1552912202484.31/crawldiagnostics/CC-MAIN-20190321030925-20190321052925-00167.warc.gz
0||com,goodreads)/book/show/18455548-fashionably-dead|20190326031222|text/html|text/html|3I42H3S6NNFQ2MSVX7XZKYAYSCX5QBYJ|10023471|http://www.goodreads.com/book/show/18455548-fashionably-dead|867|403|crawl-data/CC-MAIN-2019-13/segments/1552912204768.52/crawldiagnostics/CC-MAIN-20190326014605-20190326040605-00364.warc.gz
0||com,goodreads)/book/show/18455800|20190327014744|text/html|text/html|QXQ7TMAGWZQCVTGCDIVQTQ26ODH74VT4|9737032|http://www.goodreads.com/book/show/18455800|954|301|crawl-data/CC-MAIN-2019-13/segments/1552912207146.96/crawldiagnostics/CC-MAIN-20190327000624-20190327022624-00347.warc.gz
0||com,goodreads)/book/show/18455800-the-truth-of-fact-the-truth-of-feeling|20190327014744|text/html|text/html|TKL24ZBFYG4QXL6YN4762SVETURFWHEW|9626511|http://www.goodreads.com/book/show/18455800-the-truth-of-fact-the-truth-of-feeling|959|301|crawl-data/CC-MAIN-2019-13/segments/1552912207146.96/crawldiagnostics/CC-MAIN-20190327000624-20190327022624-00271.warc.gz
0||com,goodreads)/book/show/18455800-the-truth-of-fact-the-truth-of-feeling|20190327014745|text/html|text/html|BMJTSDDK7K76HNOREW5S2K6KL7G4NUGM|778462968|https://www.goodreads.com/book/show/18455800-the-truth-of-fact-the-truth-of-feeling|70320|200|crawl-data/CC-MAIN-2019-13/segments/1552912207146.96/warc/CC-MAIN-20190327000624-20190327022624-00384.warc.gz
0||com,goodreads)/book/show/18456082-essence|20190326191852|text/html|text/html|OROH7MHTXYZZMHZI4MG3U2RLETHI7PAD|784419117|https://www.goodreads.com/book/show/18456082-essence|73742|200|crawl-data/CC-MAIN-2019-13/segments/1552912205600.75/warc/CC-MAIN-20190326180238-20190326202238-00398.warc.gz
0||com,goodreads)/book/show/18458533-reborn?utm_medium=api&utm_source=author_widget|20190318183828|text/html|text/html|SGY7VHX5T45UOF7Q7N5ES2G34T53TBOA|789098359|https://www.goodreads.com/book/show/18458533-reborn?utm_medium=api&utm_source=author_widget|54446|200|crawl-data/CC-MAIN-2019-13/segments/1552912201521.60/warc/CC-MAIN-20190318172016-20190318194016-00400.warc.gz
0||com,goodreads)/book/show/18460392-all-the-bright-places?from_search=true&search_version=service_impr|20190326232530|text/html|text/html|DMX35LDDFCFKYXMHXJO2IJ7V2ZRFUUH7|769411334|https://www.goodreads.com/book/show/18460392-all-the-bright-places?from_search=true&search_version=service_impr|97152|200|crawl-data/CC-MAIN-2019-13/segments/1552912206677.94/warc/CC-MAIN-20190326220507-20190327002507-00085.warc.gz
0||com,goodreads)/book/show/18460412-sandstorm-heart?from_search=true|20190322193147|text/html|text/html|3I42H3S6NNFQ2MSVX7XZKYAYSCX5QBYJ|8893306|http://www.goodreads.com/book/show/18460412-sandstorm-heart?from_search=true|881|403|crawl-data/CC-MAIN-2019-13/segments/1552912202688.89/crawldiagnostics/CC-MAIN-20190322180106-20190322202106-00302.warc.gz
0||com,goodreads)/book/show/18461341-demon-restrained|20190323114244|text/html|text/html|FH7F7NGSP2N3SG6APNRMPFJZYWXGQWPG|776768915|https://www.goodreads.com/book/show/18461341-demon-restrained|37472|200|crawl-data/CC-MAIN-2019-13/segments/1552912202781.83/warc/CC-MAIN-20190323101107-20190323123107-00015.warc.gz
0||com,goodreads)/book/show/18461788-worth-the-chance?bf=2000&from_search=true|20190321103734|text/html|text/html|P3CK25L4S2QN7IYMORLSYHMH33TQGMJG|785127982|https://www.goodreads.com/book/show/18461788-worth-the-chance?bf=2000&from_search=true|92200|200|crawl-data/CC-MAIN-2019-13/segments/1552912202510.47/warc/CC-MAIN-20190321092320-20190321114320-00014.warc.gz
0||com,goodreads)/book/show/18461986-deep?ac=1&from_search=true|20190326091826|text/html|text/html|XBGK67Y25UCWSQ333FTBVWKMOHTCR6FS|770467728|https://www.goodreads.com/book/show/18461986-deep?ac=1&from_search=true|97271|200|crawl-data/CC-MAIN-2019-13/segments/1552912204885.27/warc/CC-MAIN-20190326075019-20190326101019-00122.warc.gz
0||com,goodreads)/book/show/18462464-innocent-volume-1?from_search=true&search_version=service|20190323074451|text/html|text/html|SU5LXZ4RDK6HQWMXVHWJMJE26UFXMMST|27145878|https://www.goodreads.com/book/show/18462464-innocent-volume-1?from_search=true&search_version=service|2019|403|crawl-data/CC-MAIN-2019-13/segments/1552912202728.21/crawldiagnostics/CC-MAIN-20190323060839-20190323082839-00218.warc.gz
